owner,package,downloads,is_top_100,overall_percentage,top_100_percentage
rstudio,sparkDemos,0,FALSE,0,0
rstudio,supervisor,0,FALSE,0,0
rstudio,webdriver,4079,FALSE,5.104555410868781e-5,0
rstudio,tensorflow,16846,FALSE,2.1081475962612278e-4,0
rstudio,shinytest,4469,FALSE,5.5926104758942345e-5,0
rstudio,learnr,1749,FALSE,2.1887392531526105e-5,0
rstudio,blogdown,5376,FALSE,6.727651357889328e-5,0
rstudio,CustomerSuccessWebinars,0,FALSE,0,0
rstudio,SlickQuiz,0,FALSE,0,0
rstudio,seamonster,0,FALSE,0,0
rstudio,ptexamples,0,FALSE,0,0
rstudio,cheatsheets,0,FALSE,0,0
rstudio,tfestimators,1858,FALSE,2.3251443867110064e-5,0
rstudio,keras,15191,FALSE,1.901037049436324e-4,0
rstudio,reticulate,75640,FALSE,9.465765415006487e-4,0
rstudio,shinyloadtest,0,FALSE,0,0
rstudio,cloudml,1905,FALSE,2.383961279162792e-5,0
rstudio,db.rstudio.com,0,FALSE,0,0
rstudio,promises,255195,TRUE,0.0031935695466454,0.005783391867149804
rstudio,xterm.js,0,FALSE,0,0
rstudio,logplex,0,FALSE,0,0
rstudio,dbtest,0,FALSE,0,0
rstudio,gitdown,0,FALSE,0,0
rstudio,nloptr,148003,FALSE,0.0018521439433067228,0
rstudio,tfruns,13016,FALSE,1.6288524939413594e-4,0
rstudio,proxyrec,0,FALSE,0,0
rstudio,tfdeploy,694,FALSE,8.684877310965762e-6,0
rstudio,tfdatasets,622,FALSE,7.783852575534155e-6,0
rstudio,swagger,28637,FALSE,3.583700742854849e-4,0
rstudio,batchio,0,FALSE,0,0
rstudio,bigdataclass,0,FALSE,0,0
rstudio,kerasjs,0,FALSE,0,0
rstudio,websocket,287,FALSE,3.5915847092898754e-6,0
rstudio,mleap,308,FALSE,3.854383590457427e-6,0
rstudio,gt,0,FALSE,0,0
rstudio,r2d3,79544,FALSE,9.954321049329402e-4,0
rstudio,graphframes,397,FALSE,4.968150277310385e-6,0
rstudio,shinytestPackageExample,0,FALSE,0,0
rstudio,distill,397,FALSE,4.968150277310385e-6,0
rstudio,plumber,7061,FALSE,8.836299523448017e-5,0
rstudio,shinycannon,0,FALSE,0,0
rstudio,sigar,0,FALSE,0,0
rstudio,cranwhales,0,FALSE,0,0
rstudio,fontawesome,0,FALSE,0,0
rstudio,htmldeps,0,FALSE,0,0
rstudio,reactlog,2921,FALSE,3.6554072947162805e-5,0
rstudio,production.rstudio.com,0,FALSE,0,0
rstudio,blogs.rstudio.com,0,FALSE,0,0
rstudio,bookdown.org,0,FALSE,0,0
rstudio,forge,80478,FALSE,0.001007120398028678,0
rstudio,tfhub,0,FALSE,0,0
rstudio,sass,741,FALSE,9.273046235483616e-6,0
rstudio,mlflow,28952,FALSE,3.623120575029982e-4,0
rstudio,pagedown,754,FALSE,9.435731257158767e-6,0
rstudio,terminaltools,0,FALSE,0,0
rstudio,sparkxgb,1196,FALSE,1.4967021994113906e-5,0
rstudio,renv,0,FALSE,0,0
rstudio,template,0,FALSE,0,0
rstudio,crashpad,0,FALSE,0,0
rstudio,connectapi,0,FALSE,0,0
rstudio,sparktf,176,FALSE,2.2025049088328156e-6,0
rstudio,environments.rstudio.com,0,FALSE,0,0
rstudio,tfprobability,0,FALSE,0,0
rstudio,radix,376,FALSE,4.705351396142834e-6,0
rstudio,testShinyExamples,0,FALSE,0,0
rstudio,leaflet.mapboxgl,0,FALSE,0,0
rstudio,gotestcover,0,FALSE,0,0
rstudio,colourpicker,20599,FALSE,2.5778067396049526e-4,0
rstudio,rscloud,0,FALSE,0,0
rstudio,R4ArtSundays,0,FALSE,0,0
rstudio,leaflet.providers,0,FALSE,0,0
rstudio,parsons,0,FALSE,0,0
tidyverse,ggplot2,706767,TRUE,0.008844646516483196,0.016017204568153236
tidyverse,lubridate,342428,TRUE,0.004285223584782973,0.007760321755067196
tidyverse,stringr,499211,TRUE,0.006247242488882606,0.011313438105729818
tidyverse,dplyr,839535,TRUE,0.010506136128619078,0.019026077670752213
tidyverse,readr,316298,TRUE,0.00395822669121592,0.007168147027942353
tidyverse,magrittr,1875362,TRUE,0.023468715970673446,0.042500649851140465
tidyverse,tidyr,404639,TRUE,0.0050637464988931916,0.009170187118601968
tidyverse,rvest,323717,TRUE,0.004051069781662685,0.007336281138181128
tidyverse,purrr,438933,TRUE,0.00549290958607224,0.009947379621166813
tidyverse,haven,255459,TRUE,0.0031968733040086492,0.005789374803543258
tidyverse,readxl,319312,TRUE,0.003995944587779682,0.007236452218434288
tidyverse,reprex,272831,TRUE,0.003414270549896397,0.006183070148342828
tidyverse,tibble,747810,TRUE,0.009358268158376521,0.01694734721359468
tidyverse,dtplyr,20443,FALSE,2.5582845370039343e-4,0
tidyverse,hms,315369,TRUE,0.003946600969282365,0.007147093437375993
tidyverse,modelr,268570,TRUE,0.0033609474054842573,0.006086504648446963
tidyverse,forcats,233539,TRUE,0.002922561328999471,0.0052926097817837265
tidyverse,tidyverse,347459,TRUE,0.004348182688171257,0.007874337486110636
tidyverse,tidytemplate,0,FALSE,0,0
tidyverse,blob,77056,FALSE,9.642966946308036e-4,0
tidyverse,glue,659209,TRUE,0.008249494650265747,0.014939414837093027
tidyverse,style,0,FALSE,0,0
tidyverse,dbplyr,295249,TRUE,0.003694814612658977,0.006691121163753649
tidyverse,googledrive,3998,FALSE,5.0031901281327256e-5,0
tidyverse,googlesheets4,0,FALSE,0,0
tidyverse,tidyverse.org,0,FALSE,0,0
tidyverse,principles,0,FALSE,0,0
tidyverse,tidyeval,0,FALSE,0,0
tidyverse,contributing,0,FALSE,0,0
r-lib,evaluate,475021,TRUE,0.00594452320624246,0.010765228896041722
r-lib,testthat,147258,FALSE,0.0018428208401414928,0
r-lib,devtools,292143,TRUE,0.0036559454067110523,0.0066207310105791456
r-lib,scales,421018,TRUE,0.005268717111971445,0.009541378464012524
r-lib,memoise,170904,FALSE,0.002138732380336156,0
r-lib,httr,359194,TRUE,0.0044950372058141725,0.008140283541327247
r-lib,gtable,374912,TRUE,0.004691735911251866,0.008496494883116313
r-lib,pkgdown,15890,FALSE,1.988511534167809e-4,0
r-lib,rappdirs,101281,FALSE,0.0012674539754062295,0
r-lib,svglite,29171,FALSE,3.6505267440660265e-4,0
r-lib,R6,569054,TRUE,0.007121274024948574,0.012896264721366266
r-lib,gmailr,10028,FALSE,1.2549272287372428e-4,0
r-lib,pkgconfig,451606,TRUE,0.005651502453740639,0.010234583230690469
r-lib,pingr,10461,FALSE,1.3091138551875046e-4,0
r-lib,crayon,439027,TRUE,0.0054940859239212755,0.009949509909125088
r-lib,progress,297216,TRUE,0.003719430107861671,0.006735698572412453
r-lib,covr,74592,FALSE,9.334616259071442e-4,0
r-lib,xml2,322511,TRUE,0.004035977617344206,0.007308949996929212
r-lib,lobstr,1229,FALSE,1.5379991664520058e-5,0
r-lib,clisymbols,140737,FALSE,0.0017612155304227498,0
r-lib,withr,378363,TRUE,0.004734922527390401,0.008574703646350443
r-lib,rprojroot,201543,TRUE,0.0025221559479596143,0.004567496021007359
r-lib,whoami,10492,FALSE,1.3129932672428354e-4,0
r-lib,gh,150840,FALSE,0.0018876468207292153,0
r-lib,desc,159357,FALSE,0.0019942305383913125,0
r-lib,gargle,2180,FALSE,2.7281026711679193e-5,0
r-lib,remotes,294473,TRUE,0.003685103568288214,0.00667353495677895
r-lib,installgithub.app,0,FALSE,0,0
r-lib,backports,504567,TRUE,0.006314268717812768,0.011434819194075805
r-lib,rcmdcheck,167801,FALSE,0.0020999007170855416,0
r-lib,vdiffr,17796,FALSE,2.2270328044084536e-4,0
